Date,Weekday,WorkTime,WorkHours,Remarks
01.01.2026,Thursday,,,New Year's Day (Holiday)
02.01.2026,Friday,09:00 - 17:30,8h,
03.01.2026,Saturday,,,Weekend
04.01.2026,Sunday,,,Weekend
05.01.2026,Monday,08:45 - 17:15,8h 30m,
06.01.2026,Tuesday,09:00 - 17:30,8h 30m,
07.01.2026,Wednesday,08:30 - 17:00,8h 30m,
08.01.2026,Thursday,09:00 - 16:00,7h,Team Meeting
09.01.2026,Friday,09:00 - 17:30,8h 30m,
10.01.2026,Saturday,,,Weekend
11.01.2026,Sunday,,,Weekend
12.01.2026,Monday,08:45 - 17:15,8h 30m,
13.01.2026,Tuesday,09:00 - 17:30,8h 30m,
14.01.2026,Wednesday,08:30 - 17:00,8h 30m,
15.01.2026,Thursday,09:00 - 16:30,7h 30m,Training
16.01.2026,Friday,09:00 - 15:00,6h,Doctor Appointment
17.01.2026,Saturday,,,Weekend
18.01.2026,Sunday,,,Weekend
19.01.2026,Monday,08:45 - 17:15,8h 30m,
20.01.2026,Tuesday,09:00 - 17:30,8h 30m,
21.01.2026,Wednesday,08:30 - 17:00,8h 30m,
22.01.2026,Thursday,09:00 - 17:00,8h,
23.01.2026,Friday,09:00 - 17:30,8h 30m,
24.01.2026,Saturday,,,Weekend
25.01.2026,Sunday,,,Weekend
26.01.2026,Monday,08:45 - 17:15,8h 30m,
27.01.2026,Tuesday,09:00 - 17:30,8h 30m,
28.01.2026,Wednesday,08:30 - 17:00,8h 30m,
29.01.2026,Thursday,09:00 - 16:00,7h,Home Office
30.01.2026,Friday,09:00 - 17:30,8h 30m,
31.01.2026,Saturday,,,Weekend
